"body_weight_kg"	"tissue"	"chronological_age"	"group"	"monkey_id"	"Residual_adult"	"individual_sex"	"bw_adj"
7.1	"adrenal"	15	"KK"	"44V"	-0.487901892268269	"F"	0.173692136091594
5.2	"adrenal"	4	"KK"	"6S7"	-0.487568800874984	"M"	-0.844811344910566
9.5	"adrenal"	12	"KK"	"8C9"	1.23197762480909	"M"	-1.0478051955789
9	"adrenal"	8	"KK"	"4L7"	-0.827275500543144	"M"	-1.10402412343255
7.08	"adrenal"	4	"KK"	"8S9"	2.55190641958849	"M"	1.03518865508943
7.36	"adrenal"	20	"KK"	"76J"	-1.9132790040402	"F"	0.579301419363428
9.38	"adrenal"	11	"HH"	"4C6"	-0.635273682528871	"M"	-1.19964325000943
7.62	"adrenal"	13	"HH"	"03Z"	2.46796637630515	"F"	0.676934110297218
6.6	"adrenal"	15	"HH"	"20S"	-0.611044235398276	"F"	-0.326307863908406
9.3	"adrenal"	8	"HH"	"1G8"	1.45954798221227	"M"	-0.804024123432549
9.88	"adrenal"	6	"HH"	"3L6"	-0.714192267410115	"M"	0.893647696829636
5.94	"adrenal"	7	"HH"	"9I7"	0.90044341195728	"F"	-0.552338824053127
6.1	"adrenal"	7	"HH"	"4I9"	1.84078373734892	"F"	-0.392338824053127
10.66	"adrenal"	14	"HH"	"60T"	0.313115064513446	"M"	0.402354804092108
10.28	"adrenal"	16	"HH"	"94O"	-4.18832607837264	"M"	0.548845820260422
5.84	"adrenal"	5	"HH"	"3N4"	2.14112258603836	"F"	0.175165074408278
3.88	"adrenal"	3	"HH"	"3Q5"	3.38864607666775	"M"	-0.0797514838028727
5.66	"adrenal"	6	"HH"	"7L0"	-0.150743446478922	"F"	-0.487584103455416
5.1	"adrenal"	3	"HH"	"6R4"	-0.98128879156854	"F"	0.652550255001388
7.38	"adrenal"	5	"HH"	"4N7"	-1.843944896207	"M"	-0.421568933735395
7.92	"adrenal"	7	"HH"	"0K1"	-2.12719965588098	"M"	-1.77401080681196
13.02	"adrenal"	7	"HH"	"6I4"	-1.01825871080143	"M"	3.32598919318804
